Emotion,Core appraisal in a heat context,Typical narrative role in heat perception,Illustrative cues
Joy😊,"Heat or cooling is appraised as pleasant, welcome, or relieving; the situation is manageable or even desirable (treat, comfort, leisure).","Everyday coping and relief; playful adaptation to heat; positive framing of cooling practices (e.g. treats, holidays, cosy warmth).","“love this weather”, “finally nice and warm”, “this AC is heaven”, “ice cream saves my life”"
Surprise😮,"Heat conditions are appraised as unexpected, abnormal or record-breaking, relative to local or seasonal expectations.","Monitoring and remarking on abnormality; emphasising records, anomalies or temporal shifts (“still this hot?”, “in this season?”).","“can’t believe it’s this hot”, “30°C in October??”, “still this warm at night”, “never seen heat like this”"
Neutral😐,"Situation is appraised in a descriptive, informational way with minimal affect; focus is on reporting rather than evaluation.","Observation, monitoring and reporting: forecasts, warnings, statistics, factual descriptions that provide context but little emotional stance.","“it’s 33°C today”, “heat warning in effect”, “forecast 35°C all week”, “UV index is 10”"
Sadness😢,"Heat is appraised as burden, exhaustion or loss of ease/opportunity; people feel worn down, drained or constrained.","Encoding perceived disruption of routines and wellbeing: sleep loss, lack of energy, curtailed activities, emotional fatigue.","“this heat is depressing”, “no energy to do anything”, “can’t face another hot night”, “summer is ruining my mood”"
Fear😨,"Heat is appraised as a threat to health, safety or systems, with anticipated harm to self, others or the climate.","Risk alerting and anticipatory concern: health warnings, worry about vulnerable groups, linking heat to serious climate risks.","“worried about heatstroke”, “this heat is dangerous for the elderly”, “scared for people sleeping rough”, “terrifying what climate change is doing”"
Anger😡,"Heat-related conditions are appraised as unfair, avoidable or caused/worsened by someone’s decisions; perceived norm violation or injustice.","Governance and justice framing; blaming landlords, authorities or systems for inadequate protection, infrastructure or response.","“can’t believe the landlord still won’t fix the AC”, “this city never plans for heatwaves”, “it’s outrageous the train has no AC in this heat”"
Disgust🤢,"Heat is appraised through revulsion, contamination or environmental spoilage, often bodily or sensory.","Marking environmental degradation and bodily discomfort: sweaty, smelly, ‘sauna-like’ spaces, or dirty, stifling environments.","“so sweaty and gross”, “the bus smells disgusting in this heat”, “my apartment feels like a sticky sauna”, “it’s nasty out there”"
